id:ID	labels:label	type	flags:string[]	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment	export	tainted
1284	Name										__proto__		True	
1285	Name										constructor		True	
1286	Name										__proto__		True	
1287	Name										constructor		True	
1288	Name										MarkSink		True	
1289	Name										MarkSink		True	
1290	Artificial_AST	AST_CLOSURE											True	
1291	Artificial_AST	string				0					MarkAttackEntry		True	
1292	Artificial	CFG_FUNC_ENTRY											True	
1293	Artificial	CFG_FUNC_EXIT											True	
1294	Artificial_AST	AST_PARAM_LIST				1							True	
1295	Object	function											True	
1296	Name										prototype		True	
1297	Object	object											True	
1298	Name										__proto__		True	
1299	Name										constructor		True	
1300	Name										__proto__		True	
1301	Name										constructor		True	
1302	Name										MarkAttackEntry		True	
1303	Name										MarkAttackEntry		True	
1304	Artificial_AST	AST_CLOSURE											True	
1305	Artificial_AST	string				0					debug_sink		True	
1306	Artificial	CFG_FUNC_ENTRY											True	
1307	Artificial	CFG_FUNC_EXIT											True	
1308	Artificial_AST	AST_PARAM_LIST				1							True	
1309	Object	function											True	
1310	Name										prototype		True	
1311	Object	object											True	
1312	Name										__proto__		True	
1313	Name										constructor		True	
1314	Name										__proto__		True	
1315	Name										constructor		True	
1316	Name										debug_sink		True	
1317	Name										debug_sink		True	
1318	Object	function									test.js		True	
1319	Name										prototype		True	
1320	Object	object											True	
1321	Name										__proto__		True	
1322	Name										constructor		True	
1323	Name										__proto__		True	
1324	Name										constructor		True	
1325	Name										test.js		True	
1326	Name										test.js		True	
1327	Name										name		True	
1328	Object	string			test.js								True	
1329	Name										__proto__		True	
1330	Name										constructor		True	
1331	Name										length		True	
1332	Object	number			7								True	
1333	Name										length		True	
1334	Object	number			0								True	
1335	Scope	FILE_SCOPE									File1:0		True	
1336	Scope	BLOCK_SCOPE									Block4:0		True	
1337	Name										x		True	
1338	Name										y_test_string		True	
1339	Name										z		True	
1340	Object	number			1.0								True	
1341	Object	string			test_string								True	
1342	Name										__proto__		True	
1343	Name										constructor		True	
1344	Name										length		True	
1345	Object	number			11								True	
1346	Object	number			-3.0								True	
1347	Scope	BLOCK_SCOPE									Block30:0		True	
1348	Scope	BLOCK_SCOPE									Block49:0		True	
1349	Name										debug_sink		True	
1350	Artificial_AST	AST_CLOSURE											True	
1351	Artificial_AST	string				0					debug_sink		True	
1352	Artificial	CFG_FUNC_ENTRY											True	
1353	Artificial	CFG_FUNC_EXIT											True	
1354	Artificial_AST	AST_PARAM_LIST				1							True	
1355	Object	function											True	
1356	Name										prototype		True	
1357	Object	object											True	
1358	Name										__proto__		True	
1359	Name										constructor		True	
1360	Name										__proto__		True	
1361	Name										constructor		True	
1362	Scope	FUNC_SCOPE									Function1350:31		True	
1363	Name										arguments		True	
1364	Object	array											True	
1365	Name										__proto__		True	
1366	Name										constructor		True	
1367	Object	string			in if								True	
1368	Name										__proto__		True	
1369	Name										constructor		True	
1370	Name										length		True	
1371	Object	number			5								True	
1372	Name										0		True	
1373	Object	object			*								True	
1374	Name										1		True	
1375	Object	object			*								True	
1376	Name										2		True	
1377	Name										length		True	
1378	Object	number			3								True	
1379	Object	object			*								True	
1380	Name										__proto__		True	
1381	Name										constructor		True	
1382	Name										y_test_string		True	
1383	Object	string			8								True	
1384	Name										__proto__		True	
1385	Name										constructor		True	
1386	Name										length		True	
1387	Object	number			1								True	
1388	Object	string			undefined8								True	
1389	Name										__proto__		True	
1390	Name										constructor		True	
1391	Name										length		True	
1392	Object	number			10								True	
1393	Name										z		True	
1394	Object	string			undefined1.0								True	
1395	Name										__proto__		True	
1396	Name										constructor		True	
1397	Name										length		True	
1398	Object	number			12								True	
1399	Name										debug_sink		True	
1400	Artificial_AST	AST_CLOSURE											True	
1401	Artificial_AST	string				0					debug_sink		True	
1402	Artificial	CFG_FUNC_ENTRY											True	
1403	Artificial	CFG_FUNC_EXIT											True	
1404	Artificial_AST	AST_PARAM_LIST				1							True	
1405	Object	function											True	
1406	Name										prototype		True	
1407	Object	object											True	
1408	Name										__proto__		True	
1409	Name										constructor		True	
1410	Name										__proto__		True	
1411	Name										constructor		True	
1412	Scope	FUNC_SCOPE									Function1400:50		True	
1413	Name										arguments		True	
1414	Object	array											True	
1415	Name										__proto__		True	
1416	Name										constructor		True	
1417	Object	string			in else								True	
1418	Name										__proto__		True	
1419	Name										constructor		True	
1420	Name										length		True	
1421	Object	number			7								True	
1422	Name										0		True	
1423	Object	object			*								True	
1424	Name										1		True	
1425	Object	object			*								True	
1426	Name										2		True	
1427	Name										length		True	
1428	Object	number			3								True	
1429	Object	object			*								True	
1430	Name										__proto__		True	
1431	Name										constructor		True	
1432	Name										y_test_string		True	
1433	Object	string			9								True	
1434	Name										__proto__		True	
1435	Name										constructor		True	
1436	Name										length		True	
1437	Object	number			1								True	
1438	Object	string			undefined9								True	
1439	Name										__proto__		True	
1440	Name										constructor		True	
1441	Name										length		True	
1442	Object	number			10								True	
1443	Name										z		True	
1444	Object	number			nan								True	
