start:START_ID	end:END_ID	type:TYPE	var	taint_src	taint_dst
70	71	PARENT_OF			
70	73	PARENT_OF			
70	34	FLOWS_TO			
70	19	FLOWS_TO			
71	72	PARENT_OF			
73	74	PARENT_OF			
73	78	PARENT_OF			
74	75	PARENT_OF			
75	76	PARENT_OF			
75	77	PARENT_OF			
78	79	ENTRY			
78	80	EXIT			
78	81	PARENT_OF			
78	82	PARENT_OF			
78	83	PARENT_OF			
78	88	PARENT_OF			
78	89	PARENT_OF			
78	97	PARENT_OF			
78	98	PARENT_OF			
83	84	PARENT_OF			
84	85	PARENT_OF			
84	86	PARENT_OF			
84	87	PARENT_OF			
89	90	PARENT_OF			
90	91	PARENT_OF			
90	93	PARENT_OF			
90	94	PARENT_OF			
91	92	PARENT_OF			
94	95	PARENT_OF			
95	96	PARENT_OF			
99	100	SCOPE_TO_VAR			
99	105	SCOPE_TO_VAR			
99	112	PARENT_SCOPE_OF			
99	1336	SCOPE_TO_VAR			
99	1345	PARENT_SCOPE_OF			
100	101	NAME_TO_OBJ			
102	2	OBJ_TO_AST			
102	103	OBJ_TO_PROP			
102	106	OBJ_TO_PROP			
102	110	OBJ_TO_PROP			
102	112	OBJ_TO_SCOPE			
103	104	NAME_TO_OBJ			
104	2	OBJ_TO_AST			
105	102	NAME_TO_OBJ			
106	107	NAME_TO_OBJ			
107	2	OBJ_TO_AST			
107	108	OBJ_TO_PROP			
108	109	NAME_TO_OBJ			
110	111	NAME_TO_OBJ			
111	2	OBJ_TO_AST			
112	2	SCOPE_TO_AST			
112	113	SCOPE_TO_VAR			
112	115	SCOPE_TO_VAR			
112	118	SCOPE_TO_VAR			
112	120	SCOPE_TO_VAR			
112	1231	SCOPE_TO_VAR			
112	1233	SCOPE_TO_VAR			
112	1236	SCOPE_TO_VAR			
112	1249	SCOPE_TO_VAR			
112	1262	SCOPE_TO_VAR			
112	1275	SCOPE_TO_VAR			
112	1288	SCOPE_TO_VAR			
112	1301	SCOPE_TO_VAR			
112	1314	SCOPE_TO_VAR			
112	1327	SCOPE_TO_VAR			
112	1328	PARENT_SCOPE_OF			
113	114	NAME_TO_OBJ			
114	115	OBJ_TO_PROP			
114	118	OBJ_TO_PROP			
114	120	OBJ_TO_PROP			
114	1231	OBJ_TO_PROP			
114	1233	OBJ_TO_PROP			
114	1236	OBJ_TO_PROP			
114	1249	OBJ_TO_PROP			
114	1262	OBJ_TO_PROP			
114	1275	OBJ_TO_PROP			
114	1288	OBJ_TO_PROP			
114	1301	OBJ_TO_PROP			
114	1314	OBJ_TO_PROP			
114	1327	OBJ_TO_PROP			
115	116	NAME_TO_OBJ			
115	116	NAME_TO_OBJ			
118	117	NAME_TO_OBJ			
118	117	NAME_TO_OBJ			
120	119	NAME_TO_OBJ			
120	119	NAME_TO_OBJ			
1231	1230	NAME_TO_OBJ			
1231	1230	NAME_TO_OBJ			
1233	1232	NAME_TO_OBJ			
1233	1232	NAME_TO_OBJ			
1236	1235	NAME_TO_OBJ			
1236	1235	NAME_TO_OBJ			
1237	1239	ENTRY			
1237	1240	EXIT			
1237	1238	PARENT_OF			
1237	1241	PARENT_OF			
1239	1240	FLOWS_TO			
1242	1237	OBJ_TO_AST			
1242	1243	OBJ_TO_PROP			
1242	1247	OBJ_TO_PROP			
1242	1248	OBJ_TO_PROP			
1243	1244	NAME_TO_OBJ			
1244	1237	OBJ_TO_AST			
1244	1245	OBJ_TO_PROP			
1244	1246	OBJ_TO_PROP			
1249	1242	NAME_TO_OBJ			
1249	1242	NAME_TO_OBJ			
1250	1252	ENTRY			
1250	1253	EXIT			
1250	1251	PARENT_OF			
1250	1254	PARENT_OF			
1252	1253	FLOWS_TO			
1255	1250	OBJ_TO_AST			
1255	1256	OBJ_TO_PROP			
1255	1260	OBJ_TO_PROP			
1255	1261	OBJ_TO_PROP			
1256	1257	NAME_TO_OBJ			
1257	1250	OBJ_TO_AST			
1257	1258	OBJ_TO_PROP			
1257	1259	OBJ_TO_PROP			
1262	1255	NAME_TO_OBJ			
1262	1255	NAME_TO_OBJ			
1263	1265	ENTRY			
1263	1266	EXIT			
1263	1264	PARENT_OF			
1263	1267	PARENT_OF			
1265	1266	FLOWS_TO			
1268	1263	OBJ_TO_AST			
1268	1269	OBJ_TO_PROP			
1268	1273	OBJ_TO_PROP			
1268	1274	OBJ_TO_PROP			
1269	1270	NAME_TO_OBJ			
1270	1263	OBJ_TO_AST			
1270	1271	OBJ_TO_PROP			
1270	1272	OBJ_TO_PROP			
1275	1268	NAME_TO_OBJ			
1275	1268	NAME_TO_OBJ			
1276	1278	ENTRY			
1276	1279	EXIT			
1276	1277	PARENT_OF			
1276	1280	PARENT_OF			
1278	1279	FLOWS_TO			
1281	1276	OBJ_TO_AST			
1281	1282	OBJ_TO_PROP			
1281	1286	OBJ_TO_PROP			
1281	1287	OBJ_TO_PROP			
1282	1283	NAME_TO_OBJ			
1283	1276	OBJ_TO_AST			
1283	1284	OBJ_TO_PROP			
1283	1285	OBJ_TO_PROP			
1288	1281	NAME_TO_OBJ			
1288	1281	NAME_TO_OBJ			
1289	1291	ENTRY			
1289	1292	EXIT			
1289	1290	PARENT_OF			
1289	1293	PARENT_OF			
1291	1292	FLOWS_TO			
1294	1289	OBJ_TO_AST			
1294	1295	OBJ_TO_PROP			
1294	1299	OBJ_TO_PROP			
1294	1300	OBJ_TO_PROP			
1295	1296	NAME_TO_OBJ			
1296	1289	OBJ_TO_AST			
1296	1297	OBJ_TO_PROP			
1296	1298	OBJ_TO_PROP			
1301	1294	NAME_TO_OBJ			
1301	1294	NAME_TO_OBJ			
1302	1304	ENTRY			
1302	1305	EXIT			
1302	1303	PARENT_OF			
1302	1306	PARENT_OF			
1304	1305	FLOWS_TO			
1307	1302	OBJ_TO_AST			
1307	1308	OBJ_TO_PROP			
1307	1312	OBJ_TO_PROP			
1307	1313	OBJ_TO_PROP			
1308	1309	NAME_TO_OBJ			
1309	1302	OBJ_TO_AST			
1309	1310	OBJ_TO_PROP			
1309	1311	OBJ_TO_PROP			
1314	1307	NAME_TO_OBJ			
1314	1307	NAME_TO_OBJ			
1315	1317	ENTRY			
1315	1318	EXIT			
1315	1316	PARENT_OF			
1315	1319	PARENT_OF			
1317	1318	FLOWS_TO			
1320	1315	OBJ_TO_AST			
1320	1321	OBJ_TO_PROP			
1320	1325	OBJ_TO_PROP			
1320	1326	OBJ_TO_PROP			
1321	1322	NAME_TO_OBJ			
1322	1315	OBJ_TO_AST			
1322	1323	OBJ_TO_PROP			
1322	1324	OBJ_TO_PROP			
1327	1320	NAME_TO_OBJ			
1327	1320	NAME_TO_OBJ			
1328	5	SCOPE_TO_AST			
1329	7	OBJ_TO_AST			
1329	1330	OBJ_TO_PROP			
1329	1334	OBJ_TO_PROP			
1329	1335	OBJ_TO_PROP			
1329	1337	OBJ_TO_PROP			
1329	1343	OBJ_TO_PROP			
1329	1345	OBJ_TO_SCOPE			
1330	1331	NAME_TO_OBJ			
1331	7	OBJ_TO_AST			
1331	1332	OBJ_TO_PROP			
1331	1333	OBJ_TO_PROP			
1336	1329	NAME_TO_OBJ			
1337	1338	NAME_TO_OBJ			
1338	7	OBJ_TO_AST			
1338	1339	OBJ_TO_PROP			
1338	1340	OBJ_TO_PROP			
1338	1341	OBJ_TO_PROP			
1341	1342	NAME_TO_OBJ			
1343	1344	NAME_TO_OBJ			
1344	7	OBJ_TO_AST			
1345	7	SCOPE_TO_AST			
1345	1346	SCOPE_TO_VAR			
1345	1350	SCOPE_TO_VAR			
1345	1355	SCOPE_TO_VAR			
1345	1357	SCOPE_TO_VAR			
1345	2472	SCOPE_TO_VAR			
1345	2474	SCOPE_TO_VAR			
1345	2477	SCOPE_TO_VAR			
1345	2490	SCOPE_TO_VAR			
1345	2503	SCOPE_TO_VAR			
1345	2516	SCOPE_TO_VAR			
1345	2529	SCOPE_TO_VAR			
1345	2542	SCOPE_TO_VAR			
1345	2555	SCOPE_TO_VAR			
1345	2568	SCOPE_TO_VAR			
1345	2569	PARENT_SCOPE_OF			
1345	2581	SCOPE_TO_VAR			
1346	1347	NAME_TO_OBJ			
1347	1348	OBJ_TO_PROP			
1347	1349	OBJ_TO_PROP			
1347	1350	OBJ_TO_PROP			
1347	1355	OBJ_TO_PROP			
1347	1357	OBJ_TO_PROP			
1347	2472	OBJ_TO_PROP			
1347	2474	OBJ_TO_PROP			
1347	2477	OBJ_TO_PROP			
1347	2490	OBJ_TO_PROP			
1347	2503	OBJ_TO_PROP			
1347	2516	OBJ_TO_PROP			
1347	2529	OBJ_TO_PROP			
1347	2542	OBJ_TO_PROP			
1347	2555	OBJ_TO_PROP			
1347	2568	OBJ_TO_PROP			
1347	2581	OBJ_TO_PROP			
1350	1351	NAME_TO_OBJ			
1350	1351	NAME_TO_OBJ			
1351	1352	OBJ_TO_PROP			
1351	1353	OBJ_TO_PROP			
1355	1354	NAME_TO_OBJ			
1355	1354	NAME_TO_OBJ			
1357	1356	NAME_TO_OBJ			
1357	1356	NAME_TO_OBJ			
2472	2471	NAME_TO_OBJ			
2472	2471	NAME_TO_OBJ			
2474	2473	NAME_TO_OBJ			
2474	2473	NAME_TO_OBJ			
2477	2476	NAME_TO_OBJ			
2477	2476	NAME_TO_OBJ			
2478	2480	ENTRY			
2478	2481	EXIT			
2478	2479	PARENT_OF			
2478	2482	PARENT_OF			
2480	2481	FLOWS_TO			
2483	2478	OBJ_TO_AST			
2483	2484	OBJ_TO_PROP			
2483	2488	OBJ_TO_PROP			
2483	2489	OBJ_TO_PROP			
2484	2485	NAME_TO_OBJ			
2485	2478	OBJ_TO_AST			
2485	2486	OBJ_TO_PROP			
2485	2487	OBJ_TO_PROP			
2490	2483	NAME_TO_OBJ			
2490	2483	NAME_TO_OBJ			
2491	2493	ENTRY			
2491	2494	EXIT			
2491	2492	PARENT_OF			
2491	2495	PARENT_OF			
2493	2494	FLOWS_TO			
2496	2491	OBJ_TO_AST			
2496	2497	OBJ_TO_PROP			
2496	2501	OBJ_TO_PROP			
2496	2502	OBJ_TO_PROP			
2497	2498	NAME_TO_OBJ			
2498	2491	OBJ_TO_AST			
2498	2499	OBJ_TO_PROP			
2498	2500	OBJ_TO_PROP			
2503	2496	NAME_TO_OBJ			
2503	2496	NAME_TO_OBJ			
2504	2506	ENTRY			
2504	2507	EXIT			
2504	2505	PARENT_OF			
2504	2508	PARENT_OF			
2506	2507	FLOWS_TO			
2509	2504	OBJ_TO_AST			
2509	2510	OBJ_TO_PROP			
2509	2514	OBJ_TO_PROP			
2509	2515	OBJ_TO_PROP			
2510	2511	NAME_TO_OBJ			
2511	2504	OBJ_TO_AST			
2511	2512	OBJ_TO_PROP			
2511	2513	OBJ_TO_PROP			
2516	2509	NAME_TO_OBJ			
2516	2509	NAME_TO_OBJ			
2517	2519	ENTRY			
2517	2520	EXIT			
2517	2518	PARENT_OF			
2517	2521	PARENT_OF			
2519	2520	FLOWS_TO			
2522	2517	OBJ_TO_AST			
2522	2523	OBJ_TO_PROP			
2522	2527	OBJ_TO_PROP			
2522	2528	OBJ_TO_PROP			
2523	2524	NAME_TO_OBJ			
2524	2517	OBJ_TO_AST			
2524	2525	OBJ_TO_PROP			
2524	2526	OBJ_TO_PROP			
2529	2522	NAME_TO_OBJ			
2529	2522	NAME_TO_OBJ			
2530	2532	ENTRY			
2530	2533	EXIT			
2530	2531	PARENT_OF			
2530	2534	PARENT_OF			
2532	2533	FLOWS_TO			
2535	2530	OBJ_TO_AST			
2535	2536	OBJ_TO_PROP			
2535	2540	OBJ_TO_PROP			
2535	2541	OBJ_TO_PROP			
2536	2537	NAME_TO_OBJ			
2537	2530	OBJ_TO_AST			
2537	2538	OBJ_TO_PROP			
2537	2539	OBJ_TO_PROP			
2542	2535	NAME_TO_OBJ			
2542	2535	NAME_TO_OBJ			
2543	2545	ENTRY			
2543	2546	EXIT			
2543	2544	PARENT_OF			
2543	2547	PARENT_OF			
2545	2546	FLOWS_TO			
2546	34	FLOWS_TO			
2546	43	FLOWS_TO			
2546	50	FLOWS_TO			
2546	59	FLOWS_TO			
2548	2543	OBJ_TO_AST			
2548	2549	OBJ_TO_PROP			
2548	2553	OBJ_TO_PROP			
2548	2554	OBJ_TO_PROP			
2549	2550	NAME_TO_OBJ			
2550	2543	OBJ_TO_AST			
2550	2551	OBJ_TO_PROP			
2550	2552	OBJ_TO_PROP			
2555	2548	NAME_TO_OBJ			
2555	2548	NAME_TO_OBJ			
2556	2558	ENTRY			
2556	2559	EXIT			
2556	2557	PARENT_OF			
2556	2560	PARENT_OF			
2558	2559	FLOWS_TO			
2561	2556	OBJ_TO_AST			
2561	2562	OBJ_TO_PROP			
2561	2566	OBJ_TO_PROP			
2561	2567	OBJ_TO_PROP			
2562	2563	NAME_TO_OBJ			
2563	2556	OBJ_TO_AST			
2563	2564	OBJ_TO_PROP			
2563	2565	OBJ_TO_PROP			
2568	2561	NAME_TO_OBJ			
2568	2561	NAME_TO_OBJ			
2569	10	SCOPE_TO_AST			
2569	2570	SCOPE_TO_VAR			
2569	2602	PARENT_SCOPE_OF			
2570	2571	NAME_TO_OBJ			
2571	11	OBJ_TO_AST			
2572	18	OBJ_TO_AST			
2572	2573	OBJ_TO_PROP			
2572	2577	OBJ_TO_PROP			
2572	2578	OBJ_TO_PROP			
2572	2579	OBJ_TO_PROP			
2572	2602	OBJ_TO_SCOPE			
2573	2574	NAME_TO_OBJ			
2574	18	OBJ_TO_AST			
2574	2575	OBJ_TO_PROP			
2574	2576	OBJ_TO_PROP			
2579	2580	NAME_TO_OBJ			
2580	18	OBJ_TO_AST			
2581	2572	NAME_TO_OBJ			
2582	74	OBJ_TO_AST			
2582	2583	OBJ_TO_PROP			
2582	2584	OBJ_TO_PROP			
2582	2590	OBJ_TO_PROP			
2582	2591	OBJ_TO_PROP			
2585	75	OBJ_TO_AST			
2585	2586	OBJ_TO_PROP			
2585	2587	OBJ_TO_PROP			
2585	2588	OBJ_TO_PROP			
2588	2589	NAME_TO_OBJ			
2590	2585	NAME_TO_OBJ			
2591	2592	NAME_TO_OBJ			
2592	74	OBJ_TO_AST			
2593	78	OBJ_TO_AST			
2593	2594	OBJ_TO_PROP			
2593	2598	OBJ_TO_PROP			
2593	2599	OBJ_TO_PROP			
2593	2600	OBJ_TO_PROP			
2594	2595	NAME_TO_OBJ			
2595	78	OBJ_TO_AST			
2595	2596	OBJ_TO_PROP			
2595	2597	OBJ_TO_PROP			
2600	2601	NAME_TO_OBJ			
2601	78	OBJ_TO_AST			
2602	18	SCOPE_TO_AST			
2602	70	SCOPE_TO_CALLER			
2602	2603	SCOPE_TO_VAR			
2602	2608	SCOPE_TO_VAR			
2602	2610	SCOPE_TO_VAR			
2602	2615	PARENT_SCOPE_OF			
2603	2604	NAME_TO_OBJ			
2604	18	OBJ_TO_AST			
2608	2582	NAME_TO_OBJ			
2610	2593	NAME_TO_OBJ			
2611	70	OBJ_TO_AST			
2615	33	SCOPE_TO_AST			
